BUSINESS_DATE,STORE_KEY,PREDICTED_SALES
2024-02-22,2330,5434.503008599427
2024-02-23,2330,6248.296321211091
2024-02-24,2330,6248.296321211091
2024-02-25,2330,6305.026496956275
2024-02-26,2330,4342.3614958767375
2024-02-27,2330,4348.855146885787
2024-02-28,2330,4382.2914403054165
2024-02-29,2330,5434.503008599427
2024-03-01,2330,6120.9396651909865
2024-03-02,2330,6120.9396651909865
2024-03-03,2330,6214.410288800999
2024-03-04,2330,4474.2312358217805
2024-03-05,2330,4480.72488683083
2024-03-06,2330,4483.7500933731835
2024-03-07,2330,5535.961661667192
2024-03-08,2330,6120.9396651909865
2024-03-09,2330,6120.9396651909865
2024-03-10,2330,6214.410288800999
2024-03-11,2330,4474.2312358217805
2024-03-12,2330,4480.72488683083
2024-03-13,2330,4483.7500933731835
2024-03-14,2330,5535.961661667192
2024-03-15,2330,6120.9396651909865
2024-03-16,2330,6120.9396651909865
2024-03-17,2330,6214.410288800999
2024-03-18,2330,4474.2312358217805
2024-03-19,2330,4480.72488683083
2024-03-20,2330,4331.658228459245
2024-03-21,2330,5307.026306645123
2024-03-22,2330,6044.096175082854
2024-03-23,2330,6044.096175082854
2024-03-24,2330,6137.5667986928665
2024-03-25,2330,4322.139370907842
2024-03-26,2330,4328.633021916891
2024-03-27,2330,4331.658228459245
2024-03-28,2330,5307.026306645123
2024-03-29,2330,6044.096175082854
2024-03-30,2330,6044.096175082854
2024-01-01,1686,3150.431790610927
2024-01-02,1686,3185.3113470154844
2024-01-03,1686,3272.3389266464364
2024-01-04,1686,3708.453727202839
2024-01-05,1686,3792.514535949802
2024-01-06,1686,3614.3884783847247
2024-01-07,1686,3611.6752562328707
2024-01-08,1686,3150.431790610927
2024-01-09,1686,3185.3113470154844
2024-01-10,1686,3272.3389266464364
2024-01-11,1686,3708.453727202839
2024-01-12,1686,3792.514535949802
2024-01-13,1686,3614.3884783847247
2024-01-14,1686,3611.6752562328707
2024-01-15,1686,3150.431790610927
2024-01-16,1686,3185.3113470154844
2024-01-17,1686,3272.3389266464364
2024-01-18,1686,3708.453727202839
2024-01-19,1686,3792.514535949802
2024-01-20,1686,3614.3884783847247
2024-01-21,1686,3611.6752562328707
2024-01-22,1686,3150.431790610927
2024-01-23,1686,3185.3113470154844
2024-01-24,1686,3272.3389266464364
2024-01-25,1686,3708.453727202839
2024-01-26,1686,3792.514535949802
2024-01-27,1686,3614.3884783847247
2024-01-28,1686,3611.6752562328707
2024-01-29,1686,3150.431790610927
2024-01-30,1686,3185.3113470154844
2024-01-31,1686,3272.3389266464364
2024-02-01,1686,4056.6939147794906
2024-02-02,1686,4140.754723526452
2024-02-03,1686,3962.628665961375
2024-02-04,1686,3994.039976982358
2024-02-05,1686,3362.5742532662775
2024-02-06,1686,3369.0679042753272
2024-02-07,1686,3250.412332781021
2024-02-08,1686,3904.602049865553
2024-02-09,1686,4140.754723526452
2024-02-10,1686,3962.628665961375
2024-02-11,1686,3994.039976982358
2024-02-12,1686,3210.482388352342
2024-02-13,1686,3216.9760393613915
2024-02-14,1686,3250.412332781021
2024-02-15,1686,3904.602049865553
2024-02-16,1686,4140.754723526452
2024-02-17,1686,3962.628665961375
2024-02-18,1686,3994.039976982358
2024-02-19,1686,3210.482388352342
2024-02-20,1686,3216.9760393613915
2024-02-21,1686,3250.412332781021
2024-02-22,1686,3904.602049865553
2024-02-23,1686,4779.06735824403
2024-02-24,1686,4600.941300678955
2024-02-25,1686,4632.352611699938
2024-02-26,1686,2831.1069732647816
2024-02-27,1686,2837.6006242738313
2024-02-28,1686,2871.036917693462
2024-02-29,1686,3891.1900521176754
2024-03-01,1686,4779.06735824403
2024-03-02,1686,4579.319754852378
2024-03-03,1686,4705.398959931355
2024-03-04,1686,3057.8299852557802
2024-03-05,1686,3064.32363626483
2024-03-06,1686,3067.3488428071846
2024-03-07,1686,4087.5019772314013
2024-03-08,1686,4779.06735824403
2024-03-09,1686,4579.319754852378
2024-03-10,1686,4705.398959931355
2024-03-11,1686,3057.8299852557802
2024-03-12,1686,3064.32363626483
2024-03-13,1686,3067.3488428071846
2024-03-14,1686,4087.5019772314013
2024-03-15,1686,4779.06735824403
2024-03-16,1686,4579.319754852378
2024-03-17,1686,4705.398959931355
2024-03-18,1686,3057.8299852557802
2024-03-19,1686,3064.32363626483
2024-03-20,1686,3067.3488428071846
2024-03-21,1686,4087.5019772314013
2024-03-22,1686,4779.06735824403
2024-03-23,1686,4579.319754852378
2024-03-24,1686,4705.398959931355
2024-03-25,1686,3057.8299852557802
2024-03-26,1686,3064.32363626483
2024-03-27,1686,3067.3488428071846
2024-03-28,1686,4087.5019772314013
2024-03-29,1686,4779.06735824403
2024-03-30,1686,4579.319754852378
2024-01-01,1167,3628.46126713019
2024-01-02,1167,3663.340823534748
2024-01-03,1167,3819.055836775672
2024-01-04,1167,3645.5860819328727
2024-01-05,1167,5291.756946432682
2024-01-06,1167,5163.277275121798
2024-01-07,1167,5602.081336903262
2024-01-08,1167,3628.46126713019
2024-01-09,1167,3663.340823534748
2024-01-10,1167,3819.055836775672
2024-01-11,1167,3645.5860819328727
2024-01-12,1167,5291.756946432682
2024-01-13,1167,5163.277275121798
2024-01-14,1167,5602.081336903262
2024-01-15,1167,3628.46126713019
2024-01-16,1167,3663.340823534748
2024-01-17,1167,3819.055836775672
2024-01-18,1167,3645.5860819328727
2024-01-19,1167,5291.756946432682
2024-01-20,1167,5163.277275121798
2024-01-21,1167,5602.081336903262
2024-01-22,1167,3628.46126713019
2024-01-23,1167,3663.340823534748
2024-01-24,1167,3819.055836775672
2024-01-25,1167,3645.5860819328727
2024-01-26,1167,5291.756946432682
2024-01-27,1167,5163.277275121798
2024-01-28,1167,5602.081336903262
2024-01-29,1167,3628.46126713019
2024-01-30,1167,3663.340823534748
2024-01-31,1167,3819.055836775672
2024-02-01,1167,3667.344608307501
2024-02-02,1167,5494.243760215328
2024-02-03,1167,5365.764088904444
2024-02-04,1167,5679.151158048658
2024-02-05,1167,3611.4395858093394
2024-02-06,1167,3617.933236818389
2024-02-07,1167,3720.056963847992
2024-02-08,1167,3667.344608307501
2024-02-09,1167,5494.243760215328
2024-02-10,1167,5235.415069569937
2024-02-11,1167,5548.802138714151
2024-02-12,1167,3611.4395858093394
2024-02-13,1167,3617.933236818389
2024-02-14,1167,3720.056963847992
2024-02-15,1167,3667.344608307501
2024-02-16,1167,5494.243760215328
2024-02-17,1167,5310.988611310515
2024-02-18,1167,5624.375680454728
2024-02-19,1167,3611.4395858093394
2024-02-20,1167,3693.5067785589667
2024-02-21,1167,3795.6305055885696
2024-02-22,1167,3742.9181500480786
2024-02-23,1167,5569.817301955905
2024-02-24,1167,5310.988611310515
2024-02-25,1167,5624.375680454728
2024-02-26,1167,3611.4395858093394
2024-02-27,1167,3693.5067785589667
2024-02-28,1167,3795.6305055885696
2024-02-29,1167,3742.9181500480786
2024-03-01,1167,5381.453952336674
2024-03-02,1167,5101.0037158647065
2024-03-03,1167,4571.920860627558
2024-03-04,1167,3780.1409825172173
2024-03-05,1167,3710.153794050547
2024-03-06,1167,3781.8664342028746
2024-03-07,1167,3624.132964768509
2024-03-08,1167,5381.453952336674
2024-03-09,1167,5101.0037158647065
2024-03-10,1167,4571.920860627558
2024-03-11,1167,3780.1409825172173
2024-03-12,1167,3790.226875650051
2024-03-13,1167,3861.939515802379
2024-03-14,1167,3877.2419301261493
2024-03-15,1167,5751.580654505352
2024-03-16,1167,5471.130418033385
2024-03-17,1167,5157.677145050695
2024-03-18,1167,3837.38140666041
2024-03-19,1167,3837.38140666041
2024-03-20,1167,3909.094046812738
2024-03-21,1167,3922.0569180132707
2024-03-22,1167,5504.3562788256695
2024-03-23,1167,5223.906042353702
2024-03-24,1167,4694.8231871165535
2024-03-25,1167,3743.6376217948336
2024-03-26,1167,3743.6376217948336
2024-03-27,1167,3815.3502619471615
2024-03-28,1167,3990.4488776410008
2024-03-29,1167,5722.9644884769405
2024-03-30,1167,5442.514252004973
2024-01-01,2327,3540.88405414687
2024-01-02,2327,3575.7636105514275
2024-01-03,2327,3662.791190182379
2024-01-04,2327,4095.3484581598705
2024-01-05,2327,4534.068822721733
2024-01-06,2327,4534.068822721733
2024-01-07,2327,4529.6149845077825
2024-01-08,2327,3540.88405414687
2024-01-09,2327,3575.7636105514275
2024-01-10,2327,3662.791190182379
2024-01-11,2327,4095.3484581598705
2024-01-12,2327,4534.068822721733
2024-01-13,2327,4534.068822721733
2024-01-14,2327,4529.6149845077825
2024-01-15,2327,3540.88405414687
2024-01-16,2327,3575.7636105514275
2024-01-17,2327,3662.791190182379
2024-01-18,2327,3866.4131031378047
2024-01-19,2327,4457.225332613601
2024-01-20,2327,4457.225332613601
2024-01-21,2327,4452.771494399652
2024-01-22,2327,3388.792189232934
2024-01-23,2327,3423.6717456374918
2024-01-24,2327,3510.6993252684433
2024-01-25,2327,3866.4131031378047
2024-01-26,2327,4457.225332613601
2024-01-27,2327,4457.225332613601
2024-01-28,2327,4452.771494399652
2024-01-29,2327,3388.792189232934
2024-01-30,2327,3423.6717456374918
2024-01-31,2327,3510.6993252684433
2024-02-01,2327,4162.8826562874065
2024-02-02,2327,4753.694885763204
2024-02-03,2327,4753.694885763204
2024-02-04,2327,4810.425061508388
2024-02-05,2327,3092.7037235464795
2024-02-06,2327,3099.197374555529
2024-02-07,2327,3132.6336679751594
2024-02-08,2327,3723.9157108564605
2024-02-09,2327,4753.694885763204
2024-02-10,2327,4753.694885763204
2024-02-11,2327,4810.425061508388
2024-02-12,2327,3092.7037235464795
2024-02-13,2327,3099.197374555529
2024-02-14,2327,3132.6336679751594
2024-02-15,2327,3723.9157108564605
2024-02-16,2327,4565.8838219601375
2024-02-17,2327,4565.8838219601375
2024-02-18,2327,4622.613997705322
2024-02-19,2327,2904.8926597434147
2024-02-20,2327,2911.3863107524644
2024-02-21,2327,2944.8226041720945
2024-02-22,2327,3536.1046470533956
2024-02-23,2327,4565.8838219601375
2024-02-24,2327,4565.8838219601375
2024-02-25,2327,4622.613997705322
2024-02-26,2327,2904.8926597434147
2024-02-27,2327,2911.3863107524644
2024-02-28,2327,2944.8226041720945
2024-02-29,2327,3536.1046470533956
2024-03-01,2327,4438.527165940034
2024-03-02,2327,4438.527165940034
2024-03-03,2327,4474.06170700254
2024-03-04,2327,2867.3852129467705
2024-03-05,2327,2873.87886395582
2024-03-06,2327,2876.9040704981744
2024-03-07,2327,3468.1861133794755
2024-03-08,2327,4380.591083392528
2024-03-09,2327,4380.591083392528
2024-03-10,2327,4474.06170700254
2024-03-11,2327,2867.3852129467705
2024-03-12,2327,2873.87886395582
2024-03-13,2327,2876.9040704981744
2024-03-14,2327,3468.1861133794755
2024-03-15,2327,4380.591083392528
2024-03-16,2327,4380.591083392528
2024-03-17,2327,4474.06170700254
2024-03-18,2327,2867.3852129467705
2024-03-19,2327,2873.87886395582
2024-03-20,2327,2876.9040704981744
2024-03-21,2327,3468.1861133794755
2024-03-22,2327,4380.591083392528
2024-03-23,2327,4380.591083392528
2024-03-24,2327,4474.06170700254
2024-03-25,2327,2867.3852129467705
2024-03-26,2327,2873.87886395582
2024-03-27,2327,2904.414514179584
2024-03-28,2327,3495.696557060885
2024-03-29,2327,4556.146854444594
2024-03-30,2327,4556.146854444594
2024-01-01,1630,3560.2809078957575
2024-01-02,1630,3595.160464300315
2024-01-03,1630,3302.812628843707
2024-01-04,1630,4104.890846739793
2024-01-05,1630,5021.188064598931
2024-01-06,1630,4843.0620070338555
2024-01-07,1630,4840.348784882002
2024-01-08,1630,3180.9054928081982
2024-01-09,1630,3215.785049212756
2024-01-10,1630,3302.812628843707
2024-01-11,1630,4104.890846739793
2024-01-12,1630,5021.188064598931
2024-01-13,1630,4843.0620070338555
2024-01-14,1630,4840.348784882002
2024-01-15,1630,3180.9054928081982
2024-01-16,1630,3215.785049212756
2024-01-17,1630,3302.812628843707
2024-01-18,1630,4104.890846739793
2024-01-19,1630,5021.188064598931
2024-01-20,1630,4843.0620070338555
2024-01-21,1630,4840.348784882002
2024-01-22,1630,3180.9054928081982
2024-01-23,1630,3215.785049212756
2024-01-24,1630,3302.812628843707
2024-01-25,1630,4104.890846739793
2024-01-26,1630,5021.188064598931
2024-01-27,1630,4843.0620070338555
2024-01-28,1630,4840.348784882002
2024-01-29,1630,3180.9054928081982
2024-01-30,1630,3215.785049212756
2024-01-31,1630,3302.812628843707
2024-02-01,1630,4533.94562065306
2024-02-02,1630,5450.2428385121975
2024-02-03,1630,5272.116780947122
2024-02-04,1630,5303.528091968105
2024-02-05,1630,3473.862541800166
2024-02-06,1630,3480.356192809216
2024-02-07,1630,3513.7924862288455
2024-02-08,1630,4533.94562065306
2024-02-09,1630,5450.2428385121975
2024-02-10,1630,5272.116780947122
2024-02-11,1630,5303.528091968105
2024-02-12,1630,3473.862541800166
2024-02-13,1630,3480.356192809216
2024-02-14,1630,3513.7924862288455
2024-02-15,1630,4533.94562065306
2024-02-16,1630,5450.2428385121975
2024-02-17,1630,5272.116780947122
2024-02-18,1630,5303.528091968105
2024-02-19,1630,3473.862541800166
2024-02-20,1630,3480.356192809216
2024-02-21,1630,3513.7924862288455
2024-02-22,1630,4533.94562065306
2024-02-23,1630,5711.374788353492
2024-02-24,1630,5533.248730788416
2024-02-25,1630,5405.118515999312
2024-02-26,1630,3473.862541800166
2024-02-27,1630,3480.356192809216
2024-02-28,1630,3513.7924862288455
2024-02-29,1630,4533.94562065306
2024-03-01,1630,5711.374788353492
2024-03-02,1630,5511.627184961839
2024-03-03,1630,5478.164864230729
2024-03-04,1630,3700.585553791165
2024-03-05,1630,3707.0792048002145
2024-03-06,1630,3710.1044113425683
2024-03-07,1630,4730.2575457667845
2024-03-08,1630,5711.374788353492
2024-03-09,1630,5511.627184961839
2024-03-10,1630,5553.738405971307
2024-03-11,1630,3700.585553791165
2024-03-12,1630,3782.652746540792
2024-03-13,1630,3785.677953083146
2024-03-14,1630,4805.831087507362
2024-03-15,1630,5786.948330094069
2024-03-16,1630,5587.200726702416
2024-03-17,1630,5553.738405971307
2024-03-18,1630,3700.585553791165
2024-03-19,1630,3782.652746540792
2024-03-20,1630,3785.677953083146
2024-03-21,1630,4805.831087507362
2024-03-22,1630,5786.948330094069
2024-03-23,1630,5448.6373439302015
2024-03-24,1630,5415.175023199092
2024-03-25,1630,3700.585553791165
2024-03-26,1630,3682.4530457347673
